"id","name","slug","url","begin","end","num_rast","tres","units","xmin","xmax","ymin","ymax"
1,"LOCA VIC drought daily baseflow HadGEM2-ES RCP 8.5 early century","baseflow_day_drought_HadGEM2-ES_rcp85_early_century","https://api.cal-adapt.org/api/series/baseflow_day_drought_HadGEM2-ES_rcp85_early_century/","2018-01-01T00:00:00Z","2046-12-31T00:00:00Z",1,"daily","mm",-124.5625,-113.375,31.5625,43.75
2,"LOCA VIC drought daily baseflow HadGEM2-ES RCP 8.5 late century","baseflow_day_drought_HadGEM2-ES_rcp85_late_century","https://api.cal-adapt.org/api/series/baseflow_day_drought_HadGEM2-ES_rcp85_late_century/","2046-01-01T00:00:00Z","2074-12-31T00:00:00Z",1,"daily","mm",-124.5625,-113.375,31.5625,43.75
3,"Livneh VIC daily baseflow","baseflow_day_livneh_vic","https://api.cal-adapt.org/api/series/baseflow_day_livneh_vic/","1950-01-01T00:00:00Z","2013-12-31T00:00:00Z",1,"daily","mm",-124.5625,-113.375,31.5625,43.75
4,"LOCA VIC monthly baseflow for ACCESS1-0 and modeled historical","baseflow_month_ACCESS1-0_historical","https://api.cal-adapt.org/api/series/baseflow_month_ACCESS1-0_historical/","1950-01-01T00:00:00Z","2005-12-31T00:00:00Z",672,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
5,"LOCA VIC monthly baseflow for ACCESS1-0 and RCP 4.5","baseflow_month_ACCESS1-0_rcp45","https://api.cal-adapt.org/api/series/baseflow_month_ACCESS1-0_rcp45/","2006-01-01T00:00:00Z","2099-12-31T00:00:00Z",1128,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
6,"LOCA VIC monthly baseflow for ACCESS1-0 and RCP 8.5","baseflow_month_ACCESS1-0_rcp85","https://api.cal-adapt.org/api/series/baseflow_month_ACCESS1-0_rcp85/","2006-01-01T00:00:00Z","2099-12-31T00:00:00Z",1128,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
7,"LOCA VIC monthly baseflow for CCSM4 and modeled historical","baseflow_month_CCSM4_historical","https://api.cal-adapt.org/api/series/baseflow_month_CCSM4_historical/","1950-01-01T00:00:00Z","2005-12-31T00:00:00Z",672,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
8,"LOCA VIC monthly baseflow for CCSM4 and RCP 4.5","baseflow_month_CCSM4_rcp45","https://api.cal-adapt.org/api/series/baseflow_month_CCSM4_rcp45/","2006-01-01T00:00:00Z","2099-12-31T00:00:00Z",1128,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
9,"LOCA VIC monthly baseflow for CCSM4 and RCP 8.5","baseflow_month_CCSM4_rcp85","https://api.cal-adapt.org/api/series/baseflow_month_CCSM4_rcp85/","2006-01-01T00:00:00Z","2099-12-31T00:00:00Z",1128,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
10,"LOCA VIC monthly baseflow for CESM1-BGC and modeled historical","baseflow_month_CESM1-BGC_historical","https://api.cal-adapt.org/api/series/baseflow_month_CESM1-BGC_historical/","1950-01-01T00:00:00Z","2005-12-31T00:00:00Z",672,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
11,"LOCA VIC monthly baseflow for CESM1-BGC and RCP 4.5","baseflow_month_CESM1-BGC_rcp45","https://api.cal-adapt.org/api/series/baseflow_month_CESM1-BGC_rcp45/","2006-01-01T00:00:00Z","2099-12-31T00:00:00Z",1128,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
12,"LOCA VIC monthly baseflow for CESM1-BGC and RCP 8.5","baseflow_month_CESM1-BGC_rcp85","https://api.cal-adapt.org/api/series/baseflow_month_CESM1-BGC_rcp85/","2006-01-01T00:00:00Z","2099-12-31T00:00:00Z",1128,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
13,"LOCA VIC monthly baseflow for CMCC-CMS and modeled historical","baseflow_month_CMCC-CMS_historical","https://api.cal-adapt.org/api/series/baseflow_month_CMCC-CMS_historical/","1950-01-01T00:00:00Z","2005-12-31T00:00:00Z",672,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
14,"LOCA VIC monthly baseflow for CMCC-CMS and RCP 4.5","baseflow_month_CMCC-CMS_rcp45","https://api.cal-adapt.org/api/series/baseflow_month_CMCC-CMS_rcp45/","2006-01-01T00:00:00Z","2099-12-31T00:00:00Z",1128,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
15,"LOCA VIC monthly baseflow for CMCC-CMS and RCP 8.5","baseflow_month_CMCC-CMS_rcp85","https://api.cal-adapt.org/api/series/baseflow_month_CMCC-CMS_rcp85/","2006-01-01T00:00:00Z","2099-12-31T00:00:00Z",1128,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
16,"LOCA VIC monthly baseflow for CNRM-CM5 and modeled historical","baseflow_month_CNRM-CM5_historical","https://api.cal-adapt.org/api/series/baseflow_month_CNRM-CM5_historical/","1950-01-01T00:00:00Z","2005-12-31T00:00:00Z",672,"monthly","mm/day",-124.5625,-113.375,31.5625,43.75
